dataset,run_name,experiment_name,run_dir,run_mtime,scene_id,ckpt_from_name,sample_rate_from_name,n_views_from_name,submap_every_from_name,profile_from_name,parse_pattern,test_metrics_file,test_output_label,test_protocol,use_legacy_test_output,run_key,analysis_key,test_variant_rank,split,frame_id,frame_index,lpips,psnr,ssim
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0034,34,0.056206315755844116,49.18389892578125,0.9922500252723694
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0046,46,0.05820820853114128,48.370357513427734,0.9926761984825134
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0058,58,0.051740292459726334,47.770240783691406,0.9927068948745728
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0069,69,0.06345298141241074,45.79493713378906,0.9908097386360168
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0081,81,0.11620543152093887,45.295162200927734,0.9845070242881775
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0092,92,0.10337570309638977,46.38543701171875,0.9860173463821411
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0104,104,0.11980121582746506,45.98598861694336,0.9828259944915771
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0116,116,0.08662442117929459,45.99626922607422,0.9868713617324829
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0128,128,0.1104140356183052,44.71818542480469,0.9862329363822937
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,test,0015,15,0.6021558046340942,15.443851470947266,0.40302976965904236
