experiment_name,scene,plan,variant,model,run_name,iter,split,l1,psnr,log_path
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,32000,train,0.00930334348231554,35.437181854248045,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,34000,test,0.013904920779168606,31.36666475023542,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,34000,train,0.009849916584789753,35.143760681152344,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,36000,test,0.013627254004989351,31.43903909410749,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,36000,train,0.009336163103580476,35.43806381225586,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,38000,test,0.013843593187630177,31.39611026218959,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,38000,train,0.009465193934738637,35.33579864501953,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,40000,test,0.013727135357580014,31.41575459071568,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,40000,train,0.009505775570869446,35.57024230957031,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,2000,test,0.02914770918765238,25.96166011265346,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,2000,train,0.03152940794825554,25.99212646484375,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,4000,test,0.020858155164335455,28.47347981589181,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,4000,train,0.02070019468665123,29.10410385131836,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,6000,test,0.018855298137558357,29.202242578778947,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,6000,train,0.0182190103456378,30.145287322998048,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,8000,test,0.018240854410188537,29.501764842442103,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,8000,train,0.018177978321909906,30.516093826293947,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,10000,test,0.016366403017725264,29.99482086726597,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,10000,train,0.014625800587236882,31.87289047241211,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841__planA__colmap_108__scaffold__final_40k_eval2k,405841,planA,colmap_108,scaffold,final_40k_eval2k,12000,test,0.016144445232514824,30.140463147844585,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
